mt_Mnodea7mG_|||Edges, vertices, and faces|||Identify and describe properties of 3-D shapes including the number of edges, vertices, and faces|||Count the edges, vertices, and faces of common 3-D shapes | Use the terms edge, vertex (vertices), and face correctly | Describe a 3-D shape by its properties (e.g. a cube has 6 faces, 12 edges, 8 vertices)|||Can {{name}} count the faces, edges, and vertices of a 3-D shape like a cube or triangular prism?
mt_WXW0hjNhph|||Patterns & Sequences|||Order and arrange combinations of mathematical objects in patterns and sequences|||Continue a repeating pattern of shapes or colours | Describe the rule for a given sequence of objects | Create own patterns and sequences using mathematical objects|||Can {{name}} spot a repeating pattern made of shapes or objects and continue it, or create their own repeating pattern?
mt_TdV9YGJEoY|||Position, direction, and movement|||Use mathematical vocabulary to describe position, direction, and movement, including straight lines and distinguishing rotation as a turn in terms of right angles (quarter, half, three-quarter turns, clockwise and anti-clockwise)|||Use terms such as clockwise, anti-clockwise, quarter turn, half turn, three-quarter turn | Describe a right angle as a quarter turn | Give and follow directions involving straight-line movement and turns|||Can {{name}} follow directions like "turn clockwise a quarter turn" or "move three squares to the right" on a grid or in a simple navigation game?
mt_fEuoBYw6bU|||Sorting 2-D and 3-D shapes|||Compare and sort common 2-D and 3-D shapes and everyday objects by their properties|||Sort a collection of 2-D shapes by number of sides | Sort 3-D shapes by number of faces or whether faces are flat/curved | Explain criteria used to sort a group of shapes|||Can {{name}} sort a collection of shapes into groups — for example, separating all the shapes with curved sides from those with only straight sides?
mt_vJUa62bxeR|||2-D shapes (age 7+)|||Draw 2-D shapes and make 3-D shapes using modelling materials; recognise 3-D shapes in different orientations and describe them|||Draw a triangle, rectangle, pentagon, or hexagon accurately | Construct a cube or cuboid from modelling materials (e.g. straws and connectors) | Recognise a 3-D shape (e.g. a pyramid) when it is rotated or seen from a different angle|||If {{name}} is given a cube to look at, can they draw it on paper — and then make a cube-shaped model from modelling clay or construction materials?
mt_zuOGOGFAKb|||Angles in triangles (age 7+)|||Recognise and draw shapes having specified attributes (e.g. a given number of angles or equal faces); identify triangles, quadrilaterals, pentagons, hexagons, and cubes|||Draw a shape with exactly 5 sides (pentagon) | Identify all quadrilaterals in a set of mixed shapes | Name and draw a hexagon, explaining it has 6 sides and 6 angles|||If {{name}} is given instructions like "draw a shape with 5 sides" or "draw a shape with all equal angles," can they draw it correctly?
mt_u23IGDxOpk|||Parallel and perpendicular lines|||Identify horizontal and vertical lines and pairs of perpendicular and parallel lines|||Point out horizontal and vertical lines in shapes and real-world contexts | Identify a pair of parallel lines (lines that never meet and are always the same distance apart) | Identify perpendicular lines (lines that meet at a right angle)|||If {{name}} looks at a set of railway tracks or a window frame, can they point to which lines are parallel (never crossing) and which are perpendicular (meeting at a right angle)?
mt_MFfYcnv6Tv|||Right Angles & Turns|||Identify right angles; recognise that two right angles make a half-turn, three make three-quarters, and four make a complete turn|||Use a right-angle checker to identify right angles in shapes and the environment | Classify angles as right angles, less than a right angle, or greater than a right angle | Explain that 4 right angles make a full turn (360°)|||If {{name}} looks at the corner of a piece of paper, can they tell you that's a right angle — and that spinning all the way round takes four right angles?
mt_8OAGVdeTJ_|||Understanding angles|||Recognise angles as a property of shape or a description of a turn|||Identify angles at the corners of 2-D shapes | Describe a turn (e.g. quarter turn, half turn) in terms of the angle made | Explain that an angle measures the amount of turn between two lines meeting at a point|||If you ask {{name}} to point to an angle on the corner of a book or door frame, can they find it — and explain that swinging a door open is also a kind of turn (angle)?
mt_hRZyKvz1KN|||2-D shapes (age 8+)|||Identify lines of symmetry in 2-D shapes presented in different orientations; recognise line-symmetric figures and draw lines of symmetry|||Find all lines of symmetry in a rectangle, square, and equilateral triangle | Determine whether a given shape has a line of symmetry when rotated | Identify which shapes in a set have exactly one line of symmetry | Determine how many lines of symmetry a regular hexagon has | Draw all lines of symmetry for a given figure | Identify which figures from a set are not line-symmetric|||If {{name}} is given a picture of a butterfly or a star shape, can they draw the line (or lines) where you could fold it exactly in half so both sides match?
mt_i5_HnoFOYw|||Coordinates (age 8+)|||Plot specified points on a coordinate grid and draw sides to complete a given polygon|||Plot points (1,1), (1,4), (5,4), (5,1) and join to make a rectangle | Given three vertices of a square, plot the fourth vertex | Complete a triangle by plotting the third vertex at given coordinates and drawing sides|||If {{name}} is given three coordinate pairs on a grid, can they plot each point and then connect the dots to draw the correct triangle or rectangle?
mt_Uq5vYqboCR|||Describing Movements|||Describe movements between positions as translations of a given unit to the left/right and up/down|||Describe moving from (2,3) to (5,3) as 3 units to the right | Translate a shape 4 units right and 2 units up and state the new coordinates | Predict where a point will be after a given translation|||If a shape is at position (2, 3) on a grid and you tell {{name}} to move it four squares right and two squares up, can they work out its new position without drawing it first?
mt_jBQS-CicNn|||First Quadrant Coordinates|||Describe positions on a 2-D grid as coordinates in the first quadrant|||Read the coordinates of a point on a grid as (3, 5) | Explain that the first number is the horizontal distance and the second is the vertical distance | Identify the coordinates of all vertices of a shape plotted on a grid|||If {{name}} is playing a grid-based treasure map game, can they correctly say where the treasure is using two numbers — like "three across and four up" — from the corner?
mt_hR2Y7NhMSY|||Lines of symmetry|||Complete a simple symmetric figure with respect to a specific line of symmetry|||Given half a butterfly shape and a mirror line, complete the other half on a grid | Complete a symmetric pattern on squared paper with a vertical line of symmetry | Check a completed figure by folding along the mirror line|||If you show {{name}} half a shape drawn on squared paper with a mirror line marked, can they draw the missing half so the whole shape is perfectly symmetrical?
mt_vnJEztczji|||Nets of 3-D Shapes|||Identify, draw, and interpret nets of common 3-D shapes — cubes, cuboids, triangular prisms, and square-based pyramids — by predicting which 3-D shape a given flat arrangement of faces will fold into, checking whether a net will close completely, and sketching a net from a description or 3-D model; understand the relationship between the number of faces and the structure of the net|||Draw the net of a cube, cuboid, or triangular prism and fold it mentally to identify which faces connect | Build a 3-D shape from its net and check that all faces, edges, and vertices match | Identify which of several given nets will fold into a specific 3-D shape and explain why the others won't|||If {{name}} is given a flat T-shaped piece of card with six squares, can they tell you — before folding — that it makes a cube, and point out which square will become each face?
mt_SH7QgFl8-v|||Transformations on a grid|||Represent and carry out geometric transformations on squared paper or a coordinate grid: reflections (in horizontal, vertical, and diagonal mirror lines, including the axes), translations (described as a vector or as left/right/up/down moves), and rotations (90° or 180° about a stated centre point); describe each transformation precisely using the correct language; identify which transformation maps one shape onto its image by comparing position, orientation, and size|||Reflect a shape in a given mirror line on a grid and label the new coordinates | Translate a shape by a given number of squares horizontally and vertically and describe the movement | Rotate a shape 90° or 180° about a given centre on a grid and check the image is congruent to the original|||If {{name}} sees a shape and its mirror image on squared paper, can they draw in the exact mirror line, and describe the reflection precisely — including where the line of reflection is — without just saying 'it flipped'?
mt_h0CVtqI2xo|||Types of angles|||Identify acute and obtuse angles; compare and order angles up to two right angles by size|||Classify given angles as acute, right, or obtuse | Order four angles from smallest to largest by visual comparison | Identify all acute and obtuse angles in a given triangle or quadrilateral|||If {{name}} looks at the hands on a clock showing different times, can they tell you which angle between the hands is acute (sharper than a right angle) and which is obtuse (wider)?
mt_e4V6hvcuEJ|||Types of angles (age 8+)|||Use and interpret standard geometric diagram conventions: mark right angles with a small square, equal lengths with single or double tick marks, and equal angles with arc marks; label angles in three-letter notation (∠ABC) and individual angles with a single letter or number; draw diagrams showing angles at a point, angles on a straight line, and angles inside polygons with these conventions; read diagrams with these marks to identify given information and find unknown values|||Mark a right angle with a small square symbol in a diagram and explain what it means | Use tick marks to show equal lengths in a shape and double tick marks for a second pair of equal sides | Read and interpret angle notation (e.g. angle ABC) and identify the angle being referred to in a diagram|||If {{name}}'s maths diagram shows a small square in one corner and matching arc marks on two other angles, can they tell you what each mark means — and use them to figure out a missing angle without re-measuring?
mt_Xt1cRqaBOW|||Understanding angles (age 8+)|||Understand that shapes in different categories may share attributes defining a larger category; classify quadrilaterals (rhombuses, rectangles, squares) and draw examples of quadrilaterals not in those subcategories|||Explain that a square is a special rectangle and also a special rhombus | Sort shapes into a Venn diagram: quadrilaterals vs rectangles vs squares | Draw a quadrilateral that is not a rectangle, rhombus, or square|||If you show {{name}} a square, a rectangle, and a rhombus, can they explain what makes them all quadrilaterals — and what makes each one different from the others?
mt_wUSbRt3-qw|||3-D shapes (age 9+)|||Identify 3-D shapes, including cubes and other cuboids, from 2-D representations|||Identify a cuboid from its net | Name the 3-D shape shown in an isometric drawing | Match 2-D representations to the correct 3-D shape|||If you show {{name}} a flat architect's sketch of a box or a pyramid, can they tell you the name of the 3-D shape it represents?
mt_oqziWKry-L|||Angle Sum Rules|||Know that angles at a point sum to 360° (one whole turn), angles on a straight line sum to 180°, and vertically opposite angles are equal; use these facts to find missing angles|||State that two angles on a straight line add to 180° | Explain that four right angles at a point make 360° | Identify 270° as three right angles|||If three angles meet at a point and two of them are 120° and 95°, can {{name}} work out the third angle — knowing all the angles at a point add up to 360°?
mt_r8c43QB6wx|||Classifying shapes by line properties|||Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or angles of a specified size; recognise right triangles as a category|||Sort a set of quadrilaterals into those with parallel sides and those without | Identify which triangles in a set are right triangles | Classify shapes that have both perpendicular and parallel sides|||If you show {{name}} a mixed set of triangles and quadrilaterals, can they sort them into groups — like "shapes with at least one right angle" or "shapes with parallel sides" — and explain their reasoning?
mt_qUGMyMYn9m|||Degrees and turns|||Know that angles are measured in degrees, where one degree is 1/360 of a full turn; understand that an angle turning through n one-degree angles has a measure of n degrees|||Explain that a full turn is 360° and a right angle is 90° | Describe what 'one degree' means in terms of a fraction of a circle | State that an angle of 45° has turned through 45 one-degree angles|||If {{name}} knows a full circle is 360 degrees, can they tell you how many degrees a quarter turn is — and explain roughly what one single degree looks like?
mt_YUJ5pwalqL|||Estimating Angles|||Estimate and compare acute, obtuse, and reflex angles in degrees; classify angles by type and order them by size|||Estimate an angle as approximately 130° and classify it as obtuse | Identify a reflex angle in a diagram and estimate it as about 270° | Order four angles from smallest to largest by estimation before measuring|||If you show {{name}} three different angles drawn on paper, can they estimate which is biggest, label each as acute, obtuse, or reflex — and then check with a protractor?
mt_QysgF57dxh|||Lines, Rays & Angles|||Draw and identify points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines; identify these in two-dimensional figures|||Draw a pair of perpendicular lines and a pair of parallel lines | Identify all pairs of parallel sides in a trapezoid | Mark a right angle, an acute angle, and an obtuse angle in a given figure|||If {{name}} is given a piece of paper and a ruler, can they draw a line segment, mark a point, and then draw another line through that point that runs perfectly parallel to the first?
mt_4MFUAsbx_6|||Measuring angles|||Measure angles in whole-number degrees using a protractor; draw given angles and sketch angles of specified measure|||Measure an angle with a protractor and read 47° | Draw an angle of 135° using a protractor | Identify which scale on the protractor to use for an obtuse angle|||If {{name}} is given a protractor and an angle drawn on paper, can they measure it accurately and then draw a new angle of a size you specify?
mt_89riIKwGYp|||Measuring angles (age 9+)|||Recognise angle measure as additive; find unknown angles by adding or subtracting on a diagram using equations with a symbol for the unknown|||Two angles on a straight line are 65° and x°; find x = 115° | An angle is decomposed into 35° and 40°; state the whole angle is 75° | Solve: angles at a point are 120°, 90°, and x°; find x = 150°|||If two angles sit next to each other on a straight line and one is 65°, can {{name}} work out the other angle — knowing that angles on a straight line always add up to 180°?
mt_8H2kO4k2B9|||Regular and irregular polygons|||Distinguish between regular and irregular polygons based on reasoning about equal sides and equal angles|||Classify a set of polygons as regular or irregular | Explain that a regular pentagon has 5 equal sides and 5 equal angles | Identify that a rectangle is irregular (equal angles but not all equal sides) unless it is a square|||If you show {{name}} a stop sign (regular octagon) and a wonky eight-sided shape, can they explain which is regular and which is irregular — and why?
mt_efOeaGFyGM|||Transformations on a Grid|||Identify, describe, and represent the position of a shape following a reflection or translation using appropriate language; know that the shape has not changed|||Reflect a triangle in a vertical mirror line on a coordinate grid and state the new coordinates | Translate a shape 3 units right and 2 units up and describe the movement | Explain that a reflected/translated shape is congruent to the original|||If {{name}} slides or flips a shape on squared paper, can they describe exactly where it ends up and confirm the shape itself hasn't changed size or angles?
mt_KFKUR_gBg_|||Understanding angles (age 9+)|||Use the properties of rectangles to deduce related facts and find missing lengths and angles|||Given one side of a rectangle is 8 cm and the perimeter is 28 cm, find the other side | Explain that all angles in a rectangle are 90° | Find a missing side of a rectangle given its area and one side length|||If {{name}} knows one side of a rectangular garden is 7 m, can they tell you the length of the opposite side and all four corner angles — without measuring?
